ProductID,ProductName,Brand,Variety,Factory,Country,SupplierName,UnitsProducedMonthly,UnitsSoldMonthly,UnitPrice,RevenueMonthly,ProductionCost,Profit,StockQuantity,QualityScore
CHC-00085,Classic Milk Chocolate Bar,Cacao Verde,Milk,Sao Paulo Factory P,Brazil,Andes Bean Exporters,14145,12919,3.72,48058.68,22349.1,25709.58,1402,90.8
CHC-00086,85% Extra Bold Dark Chocolate Bar,Amber Cacao Co.,Dark,Antwerp Factory A,Belgium,Ghana Bean Collective,10160,8610,6.19,53295.9,33832.8,19463.1,1693,83.2
CHC-00087,Sea Salt Caramel Chocolate Drops,Pure Bloom Chocolatiers,Caramel,Dubai Factory W,UAE,Ivory Cocoa Traders,9052,7995,3.76,30061.2,19190.24,10870.96,1188,87.4
CHC-00088,Organic Fair-Trade Chocolate Bar,Wildflower Cacao,Organic,Shanghai Factory L,China,Amazon Cacao Growers,7063,7468,4.16,31066.88,19847.03,11219.85,10,83.4
CHC-00089,Marzipan Style Almond Chocolate Drops,Ember & Oak,Almond,Zurich Factory E,Switzerland,Nordic Milk Co.,3942,3476,3.35,11644.6,6346.62,5297.98,601,95.9
CHC-00090,Value Pack Compound Chocolate Coated Nuts,Ember & Oak,Compound,Bern Factory B,Switzerland,Meridian Cacao Exchange,4797,4508,1.86,8384.88,3693.69,4691.19,561,83.0
CHC-00091,Sea Salt Caramel Chocolate Bar,Whisk & Wonder,Caramel,Lima Factory S,Peru,Sahara Nut Suppliers,4110,3791,4.73,17931.43,8137.8,9793.63,570,83.0
CHC-00092,Praline Hazelnut Chocolate Squares,Golden Bean Co.,Hazelnut,Guadalajara Factory C,Mexico,Meridian Cacao Exchange,6047,5304,5.78,30657.12,22494.84,8162.28,816,91.0
CHC-00093,85% Extra Bold Dark Chocolate Truffle Box,Pure Bloom Chocolatiers,Dark,Montreal Factory Y,Canada,Andes Bean Exporters,1135,893,6.33,5652.69,4199.5,1453.19,295,85.0
CHC-00094,Bakers Classic Compound Chocolate Filled Bar,Northstar Confectionery,Compound,Sao Paulo Factory P,Brazil,Coastal Coconut Co.,5549,4898,1.6,7836.8,5049.59,2787.21,750,90.0
CHC-00095,70% Intense Dark Chocolate Truffle Box,Terra Cacao,Dark,Hershey Falls Factory X,USA,Meridian Cacao Exchange,1515,1508,6.05,9123.4,4711.65,4411.75,233,89.2
CHC-00096,Biscuit Milk Chocolate Squares,Whisk & Wonder,Milk,Cologne Factory F,Germany,Andes Bean Exporters,12802,10504,2.48,26049.92,18434.88,7615.04,2331,84.8
CHC-00097,Whole Hazelnut Chocolate Chips (Baking),Noir Origins,Hazelnut,Turin Factory J,Italy,Ghana Bean Collective,7867,6606,5.53,36531.18,22971.64,13559.54,1412,78.0
CHC-00098,Oat Milk Blend Vegan Dark Chocolate Pralines,Highland Cacao,Vegan Dark,Portland Factory A,USA,Andes Bean Exporters,9967,6674,6.8,45383.2,28704.96,16678.24,3488,73.6
CHC-00099,Vanilla Bean White Chocolate Wafer Bar,Bean & Bloom,White,Melbourne Factory N,Australia,Continental Sugar Corp,9535,9236,2.19,20226.84,8772.2,11454.64,352,89.1
CHC-00100,Marzipan Style Almond Chocolate Bar,TruffleWorks,Almond,Bruges Factory D,Belgium,Coastal Coconut Co.,5142,5150,3.03,15604.5,7147.38,8457.12,44,86.0
CHC-00101,Biscuit Milk Chocolate Gift Box,Cacao Verde,Milk,Bruges Factory D,Belgium,Global Cocoa Partners,3794,3219,4.33,13938.27,9750.58,4187.69,656,91.8
CHC-00102,Sea Salt Milk Chocolate Bar,Blue Ridge Chocolatiers,Milk,Bristol Factory H,United Kingdom,Amazon Cacao Growers,2716,2005,3.38,6776.9,4725.84,2051.06,890,89.4
CHC-00103,Almond Crunch Chocolate Squares,Wildflower Cacao,Almond,Cologne Factory F,Germany,Ivory Cocoa Traders,2257,2040,3.86,7874.4,3814.33,4060.07,298,87.6
CHC-00104,Single Origin Dark Chocolate Bar,Cocoa Bloom,Dark,Lyon Factory G,France,Andes Bean Exporters,7761,5335,2.87,15311.45,14978.73,332.72,2677,85.7
CHC-00105,70% Intense Dark Chocolate Chips (Baking),Ember & Oak,Dark,Cape Town Factory V,South Africa,Nordic Milk Co.,7641,6003,4.81,28874.43,22693.77,6180.66,1903,94.0
CHC-00106,Classic Sugar-Free Chocolate Coated Nuts,Sunset Grove Chocolate,Sugar-Free,Guayaquil Factory Q,Ecuador,Ghana Bean Collective,3980,3062,4.75,14544.5,8716.2,5828.3,1074,66.5
CHC-00107,85% Extra Bold Dark Chocolate Coated Nuts,Cacao & Co.,Dark,Guadalajara Factory C,Mexico,Pacific Sugar Mills,2065,1706,5.51,9400.06,5513.55,3886.51,624,76.4
CHC-00108,Single Origin Dark Chocolate Gift Box,TruffleWorks,Dark,Shanghai Factory L,China,Global Cocoa Partners,2167,2140,3.66,7832.4,5179.13,2653.27,64,91.2
CHC-00109,Gianduja Style Hazelnut Chocolate Bar,Copper Kettle Chocolate,Hazelnut,Guadalajara Factory C,Mexico,Andes Bean Exporters,2763,2705,4.47,12091.35,7487.73,4603.62,338,87.1
CHC-00110,Salted Butter Caramel Chocolate Truffle Box,Cacao Verde,Caramel,Zurich Factory E,Switzerland,Coastal Coconut Co.,1344,1421,4.7,6678.7,4018.56,2660.14,10,82.5
CHC-00111,Bakers Classic Compound Chocolate Wafer Bar,Copper Kettle Chocolate,Compound,Shanghai Factory L,China,Ivory Cocoa Traders,3798,3412,1.87,6380.44,4557.6,1822.84,625,84.5
CHC-00112,Soft Caramel Core Chocolate Pralines,Cacao Nomad,Caramel,Hershey Falls Factory X,USA,Andes Bean Exporters,7854,6980,3.38,23592.4,13430.34,10162.06,921,93.5
CHC-00113,Biscuit Milk Chocolate Gift Box,Ivory & Cocoa,Milk,Munich Factory C,Germany,Continental Sugar Corp,2297,1831,3.98,7287.38,5076.37,2211.01,572,90.9
CHC-00114,Whole Hazelnut Chocolate Drops,Golden Bean Co.,Hazelnut,Cologne Factory F,Germany,Meridian Cacao Exchange,2244,2106,3.01,6339.06,2917.2,3421.86,284,89.0
CHC-00115,Praline Hazelnut Chocolate Coated Nuts,Cacao Nomad,Hazelnut,Pune Factory K,India,Sahara Nut Suppliers,4540,4261,4.69,19984.09,10305.8,9678.29,573,76.1
CHC-00116,Almond Crunch Chocolate Bar,Maison Cacao,Almond,Turin Factory J,Italy,Meridian Cacao Exchange,4363,4358,5.44,23707.52,11823.73,11883.79,167,94.7
CHC-00117,Sea Salt Caramel Chocolate Filled Bar,Ivory & Cocoa,Caramel,Jakarta Factory O,Indonesia,Continental Sugar Corp,6647,6296,3.94,24806.24,17082.79,7723.45,377,83.2
CHC-00118,70% Intense Dark Chocolate Wafer Bar,TruffleWorks,Dark,Melbourne Factory N,Australia,Andes Bean Exporters,4347,3249,6.05,19656.45,16649.01,3007.44,1329,92.0
CHC-00119,Soft Caramel Core Chocolate Coated Nuts,Terra Cacao,Caramel,Bristol Factory H,United Kingdom,Continental Sugar Corp,731,698,3.45,2408.1,1425.45,982.65,144,91.4
CHC-00120,Oat Milk Blend Vegan Dark Chocolate Gift Box,Ivory & Cocoa,Vegan Dark,Bordeaux Factory D,France,TerraFair Trade Beans,10104,8371,6.28,52569.88,33545.28,19024.6,1949,76.4
CHC-00121,Coconut White Chocolate Chips (Baking),Northstar Confectionery,White,Bern Factory B,Switzerland,Global Cocoa Partners,5754,6199,2.91,18039.09,10529.82,7509.27,10,78.5
CHC-00122,Single Origin Dark Chocolate Truffle Box,Choco Artisan,Dark,Bruges Factory D,Belgium,Ghana Bean Collective,8810,6958,5.22,36320.76,22289.3,14031.46,2131,77.5
CHC-00123,Vanilla Bean White Chocolate Gift Box,Sunset Grove Chocolate,White,Abidjan Factory U,Cote d'Ivoire,Sahara Nut Suppliers,10893,9629,2.06,19835.74,10021.56,9814.18,1396,81.0
CHC-00124,Gianduja Style Hazelnut Chocolate Gift Box,Terra Cacao,Hazelnut,Munich Factory C,Germany,Sunrise Vanilla Farms,5525,5925,4.37,25892.25,14807.0,11085.25,10,92.4
CHC-00125,Whole Hazelnut Chocolate Gift Box,Rainforest Bloom,Hazelnut,Portland Factory A,USA,Meridian Cacao Exchange,4132,4365,4.76,20777.4,11776.2,9001.2,10,95.9
CHC-00126,Almond Crunch Chocolate Bar,Choco Artisan,Almond,Guayaquil Factory Q,Ecuador,Continental Sugar Corp,3518,3128,2.85,8914.8,6543.48,2371.32,535,89.7
CHC-00127,Marzipan Style Almond Chocolate Gift Box,Wildflower Cacao,Almond,Antwerp Factory A,Belgium,Sunrise Vanilla Farms,5956,5665,5.17,29288.05,19893.04,9395.01,312,86.6
CHC-00128,Berry Burst Ruby Chocolate Truffle Box,Maison Cacao,Ruby,Melbourne Factory N,Australia,Heritage Almond Growers,5701,5451,6.86,37393.86,18984.33,18409.53,466,82.9
CHC-00129,70% Intense Dark Chocolate Truffle Box,Northstar Confectionery,Dark,Bruges Factory D,Belgium,Pacific Sugar Mills,8104,7509,5.27,39572.43,17666.72,21905.71,732,98.3
CHC-00130,Praline Hazelnut Chocolate Gift Box,Golden Bean Co.,Hazelnut,Guadalajara Factory C,Mexico,Continental Sugar Corp,5406,4512,3.04,13716.48,6919.68,6796.8,1047,87.8
CHC-00131,Coconut White Chocolate Drops,Rainforest Bloom,White,Montreal Factory Y,Canada,Andes Bean Exporters,2493,1805,2.68,4837.4,2717.37,2120.03,973,82.2
CHC-00132,Roasted Almond Chocolate Pralines,Auric Chocolate,Almond,Osaka Factory M,Japan,Andes Bean Exporters,7268,7080,5.19,36745.2,17588.56,19156.64,346,88.1
CHC-00133,Classic Sugar-Free Chocolate Truffle Box,Choco Artisan,Sugar-Free,Oaxaca Factory Z,Mexico,EcoPack Solutions,2494,2378,5.33,12674.74,8055.62,4619.12,316,91.8
CHC-00134,Whole Hazelnut Chocolate Pralines,Cacao Nomad,Hazelnut,Lima Factory S,Peru,Continental Sugar Corp,4318,3712,3.04,11284.48,8592.82,2691.66,860,85.0
CHC-00135,70% Intense Dark Chocolate Pralines,Cacao & Co.,Dark,Bruges Factory D,Belgium,Alpine Dairy Co.,20125,17906,6.25,111912.5,53532.5,58380.0,2383,84.8
CHC-00136,Espresso Infused Dark Chocolate Truffle Box,Amber Cacao Co.,Dark,Bristol Factory H,United Kingdom,Meridian Cacao Exchange,1454,1194,2.91,3474.54,2064.68,1409.86,330,77.4
CHC-00137,Organic Raw Cacao Chocolate Bar,Ivory & Cocoa,Organic,Oaxaca Factory Z,Mexico,Sahara Nut Suppliers,8670,6906,6.47,44681.82,37107.6,7574.22,1936,91.5
CHC-00138,Tropical Mix Fruit & Nut Chocolate Bar,Silk Route Chocolate,Fruit & Nut,Antwerp Factory A,Belgium,Ivory Cocoa Traders,6018,4746,3.17,15044.82,12336.9,2707.92,1447,82.8
