OrderID,CustomerName,ProductID,ProductName,Quantity,OrderDate,DeliveryStatus,Country,RevenueUSD
ORD-10081,Scott PLC,CHC-01093,Sea Salt Milk Chocolate Squares,56,2026-05-24,Delivered,Cote d'Ivoire,114.8
ORD-10082,Davidson Ltd,CHC-00846,Sea Salt Milk Chocolate Filled Bar,36,2026-06-15,Delivered,Japan,160.2
ORD-10083,"Long, West and Moore",CHC-01485,Espresso Infused Dark Chocolate Drops,93,2026-01-17,Pending,Germany,232.5
ORD-10084,Frey and Sons,CHC-01048,Cranberry Walnut Fruit & Nut Chocolate Gift Box,76,2026-01-03,Processing,Italy,406.6
ORD-10085,Johnson LLC,CHC-00139,Coconut White Chocolate Wafer Bar,70,2026-06-28,Delivered,UAE,312.9
ORD-10086,Brown-Tran,CHC-00138,Tropical Mix Fruit & Nut Chocolate Bar,13,2026-03-08,Processing,Belgium,41.21
ORD-10087,Hood Inc,CHC-00440,Cranberry Walnut Fruit & Nut Chocolate Truffle Box,35,2026-02-21,Delivered,Germany,172.2
ORD-10088,Hartman-Mckinney,CHC-00741,Coconut White Chocolate Gift Box,21,2026-04-11,Shipped,Colombia,85.26
ORD-10089,"Gill, Webb and Garcia",CHC-00969,Biscuit Milk Chocolate Truffle Box,9,2026-04-09,Delivered,Mexico,33.3
ORD-10090,Fischer-Ayers,CHC-01293,Coconut White Chocolate Pralines,145,2025-11-11,Shipped,Brazil,413.25
ORD-10091,"Goodman, Lawrence and Alexander",CHC-01462,Coconut White Chocolate Coated Nuts,123,2026-02-06,Processing,Ecuador,460.02
ORD-10092,"Garcia, Nguyen and Scott",CHC-00516,Biscuit Milk Chocolate Coated Nuts,134,2026-02-25,Delivered,Peru,529.3
ORD-10093,Brooks Group,CHC-00176,85% Extra Bold Dark Chocolate Drops,96,2026-02-17,Shipped,Ghana,366.72
ORD-10094,Alexander and Sons,CHC-00497,Single Origin Dark Chocolate Squares,14,2026-06-01,Pending,Switzerland,83.02
ORD-10095,"Mcclain, Mcdonald and Gaines",CHC-00574,Coconut White Chocolate Drops,16,2026-08-02,Delivered,Indonesia,60.32
ORD-10096,Moore and Sons,CHC-00760,Raspberry Swirl White Chocolate Bar,25,2026-06-02,Processing,Peru,72.5
ORD-10097,Villa LLC,CHC-00361,Honeycomb Milk Chocolate Truffle Box,25,2026-04-21,Shipped,Australia,106.25
ORD-10098,"Taylor, West and Davis",CHC-00753,Soft Caramel Core Chocolate Pralines,32,2026-01-17,Processing,Australia,102.4
ORD-10099,Kirby-Fuller,CHC-00718,Marzipan Style Almond Chocolate Wafer Bar,12,2026-03-19,Pending,Mexico,56.88
ORD-10100,Compton-Morris,CHC-00322,Espresso Infused Dark Chocolate Gift Box,23,2025-10-21,Processing,France,93.38
ORD-10101,Woods Ltd,CHC-00179,Coconut White Chocolate Chips (Baking),122,2025-12-08,Delivered,Indonesia,434.32
ORD-10102,Thomas-Walker,CHC-01056,Biscuit Milk Chocolate Filled Bar,43,2026-05-13,Processing,UAE,141.9
ORD-10103,White Group,CHC-01033,Classic Milk Chocolate Chips (Baking),11,2026-06-17,Pending,Japan,34.87
ORD-10104,"Small, Gonzales and Hernandez",CHC-00559,Organic Fair-Trade Chocolate Wafer Bar,72,2026-02-28,Delivered,Cote d'Ivoire,347.04
ORD-10105,Jenkins-Moore,CHC-01480,Classic Milk Chocolate Gift Box,45,2026-06-22,Shipped,Switzerland,198.0
ORD-10106,Duncan-Phillips,CHC-00864,Plant-Based Classic Vegan Dark Chocolate Chips (Baking),92,2026-03-15,Delivered,Cote d'Ivoire,556.6
ORD-10107,Green Inc,CHC-01207,Confectionery Grade Compound Chocolate Gift Box,29,2025-11-14,Shipped,USA,53.94
ORD-10108,Bryant-Olson,CHC-00749,Whole Hazelnut Chocolate Wafer Bar,43,2025-12-02,Delivered,South Africa,188.77
ORD-10109,Irwin Inc,CHC-00096,Biscuit Milk Chocolate Squares,32,2026-02-09,Delivered,Germany,79.36
ORD-10110,"Jacobson, Barnett and Clark",CHC-00621,Classic Milk Chocolate Gift Box,50,2026-04-24,Pending,Ecuador,148.0
ORD-10111,Conley-Wilson,CHC-01062,85% Extra Bold Dark Chocolate Pralines,27,2026-06-05,Delivered,South Africa,115.83
ORD-10112,Arellano Group,CHC-01347,Cranberry Walnut Fruit & Nut Chocolate Bar,18,2025-11-09,Pending,Netherlands,84.6
ORD-10113,Bolton-Buckley,CHC-00793,Coconut White Chocolate Drops,11,2026-04-08,Processing,Colombia,48.84
ORD-10114,Price Group,CHC-01064,70% Intense Dark Chocolate Squares,29,2026-06-02,Pending,France,174.87
ORD-10115,Brown Ltd,CHC-00287,Classic Sugar-Free Chocolate Filled Bar,59,2026-03-28,Delivered,South Africa,315.06
ORD-10116,Thomas-Bowman,CHC-00057,85% Extra Bold Dark Chocolate Filled Bar,14,2025-10-19,Delivered,India,77.84
ORD-10117,Roman-Peterson,CHC-01032,Plant-Based Classic Vegan Dark Chocolate Chips (Baking),23,2026-04-14,Shipped,Ghana,121.44
ORD-10118,Ramos PLC,CHC-00388,Praline Hazelnut Chocolate Chips (Baking),35,2026-06-02,Pending,Indonesia,207.55
ORD-10119,Lopez-Graham,CHC-00272,Cranberry Walnut Fruit & Nut Chocolate Pralines,77,2026-06-23,Delivered,Peru,304.92
ORD-10120,Robinson-Duncan,CHC-00471,Single Origin Dark Chocolate Bar,13,2026-05-01,Delivered,Cote d'Ivoire,39.91
ORD-10121,Bridges PLC,CHC-00122,Single Origin Dark Chocolate Truffle Box,49,2026-07-26,Shipped,Belgium,255.78
ORD-10122,Dawson and Sons,CHC-01322,Honeycomb Milk Chocolate Filled Bar,78,2025-12-06,Delivered,Brazil,209.82
ORD-10123,"Miller, Miller and Franklin",CHC-00525,Biscuit Milk Chocolate Wafer Bar,21,2026-07-06,Delivered,Switzerland,88.2
ORD-10124,Juarez-Thompson,CHC-00854,Salted Butter Caramel Chocolate Pralines,79,2025-12-27,Delivered,Netherlands,353.13
ORD-10125,Salazar Ltd,CHC-00948,Almond Crunch Chocolate Gift Box,19,2025-11-25,Shipped,Netherlands,57.76
ORD-10126,"Cain, Aguilar and Harris",CHC-00514,Classic Milk Chocolate Filled Bar,19,2026-07-18,Processing,Indonesia,76.19
ORD-10127,Schwartz PLC,CHC-00105,70% Intense Dark Chocolate Chips (Baking),25,2026-01-30,Pending,South Africa,120.25
ORD-10128,Randall-Hendricks,CHC-00041,Almond Crunch Chocolate Drops,81,2026-03-23,Delivered,United Kingdom,336.96
ORD-10129,"Cochran, Rogers and Wilkinson",CHC-00525,Biscuit Milk Chocolate Wafer Bar,7,2026-06-29,Delivered,Switzerland,29.4
ORD-10130,Davis-Ortiz,CHC-00301,Single Origin Dark Chocolate Truffle Box,71,2025-12-21,Processing,Australia,281.87
ORD-10131,Anderson-Wade,CHC-00127,Marzipan Style Almond Chocolate Gift Box,24,2026-04-07,Shipped,Belgium,124.08
ORD-10132,Lopez LLC,CHC-00051,Tropical Mix Fruit & Nut Chocolate Pralines,45,2026-05-16,Pending,Switzerland,180.0
ORD-10133,Martin LLC,CHC-00867,Whole Hazelnut Chocolate Filled Bar,14,2025-10-31,Delivered,Germany,47.74
ORD-10134,"Larson, Smith and Meyer",CHC-00374,Biscuit Milk Chocolate Bar,28,2026-07-27,Delivered,Canada,68.32
ORD-10135,Novak-Jones,CHC-01051,85% Extra Bold Dark Chocolate Gift Box,6,2026-05-16,Shipped,USA,36.78
ORD-10136,Klein-Velasquez,CHC-00650,Gianduja Style Hazelnut Chocolate Chips (Baking),78,2025-11-16,Pending,Australia,365.04
ORD-10137,Maxwell-Parrish,CHC-01317,Confectionery Grade Compound Chocolate Bar,13,2026-01-12,Delivered,Australia,18.07
ORD-10138,"Potter, Brown and Salas",CHC-01466,Value Pack Compound Chocolate Gift Box,18,2026-05-20,Pending,France,23.22
ORD-10139,"Simpson, Palmer and Moreno",CHC-01097,70% Intense Dark Chocolate Truffle Box,86,2026-01-21,Processing,USA,250.26
ORD-10140,"Taylor, Sanchez and Davis",CHC-01412,Organic Single Origin Chocolate Pralines,64,2025-11-27,Delivered,France,404.48
ORD-10141,"White, Garcia and King",CHC-00004,Cranberry Walnut Fruit & Nut Chocolate Pralines,13,2025-10-31,Delivered,Germany,47.45
ORD-10142,Smith Ltd,CHC-01412,Organic Single Origin Chocolate Pralines,30,2026-02-13,Delivered,France,189.6
ORD-10143,"Lee, Smith and Greene",CHC-00391,Lemon Zest White Chocolate Coated Nuts,352,2026-04-10,Delivered,Peru,1478.4
ORD-10144,"Marshall, Allen and Wallace",CHC-00026,Organic Single Origin Chocolate Coated Nuts,58,2026-04-29,Delivered,Indonesia,218.66
ORD-10145,Kane-Love,CHC-00615,70% Intense Dark Chocolate Drops,15,2025-11-07,Shipped,Ghana,55.05
ORD-10146,Nelson Group,CHC-00634,Cranberry Walnut Fruit & Nut Chocolate Coated Nuts,64,2026-05-05,Delivered,USA,257.28
ORD-10147,Willis-Juarez,CHC-01386,Oat Milk Blend Vegan Dark Chocolate Drops,314,2026-07-01,Delivered,Mexico,1089.58
ORD-10148,Martinez Group,CHC-00411,Bakers Classic Compound Chocolate Filled Bar,49,2026-02-14,Delivered,Japan,75.46
ORD-10149,Weaver and Sons,CHC-00270,Roasted Almond Chocolate Bar,99,2026-02-11,Delivered,India,303.93
ORD-10150,Thomas PLC,CHC-00074,85% Extra Bold Dark Chocolate Bar,35,2026-02-06,Shipped,Ghana,152.25
ORD-10151,Francis-Martin,CHC-00775,Sea Salt Caramel Chocolate Chips (Baking),83,2026-04-20,Shipped,Brazil,356.07
ORD-10152,Pace Group,CHC-00643,Confectionery Grade Compound Chocolate Pralines,45,2026-03-27,Processing,UAE,104.85
ORD-10153,"Fisher, Franco and Fox",CHC-00464,Raspberry Swirl White Chocolate Squares,75,2026-05-24,Delivered,Germany,270.75
ORD-10154,Waller-Williams,CHC-01264,85% Extra Bold Dark Chocolate Squares,75,2026-05-05,Processing,USA,293.25
ORD-10155,Morgan-Allen,CHC-01328,Raspberry Swirl White Chocolate Coated Nuts,19,2026-06-07,Delivered,South Africa,62.89
ORD-10156,Baldwin-Cameron,CHC-00712,Roasted Almond Chocolate Chips (Baking),40,2025-10-30,Pending,Mexico,208.4
ORD-10157,"Brock, Durham and Briggs",CHC-00979,70% Intense Dark Chocolate Coated Nuts,11,2026-04-05,Pending,Australia,36.96
ORD-10158,"Brown, Holmes and Rosario",CHC-00052,85% Extra Bold Dark Chocolate Pralines,48,2026-08-03,Shipped,Ecuador,301.44
ORD-10159,Wright-Henderson,CHC-01132,Coconut White Chocolate Bar,38,2026-06-23,Pending,France,143.26
ORD-10160,"Smith, Rodriguez and Lopez",CHC-01071,Bakers Classic Compound Chocolate Bar,8,2026-07-24,Pending,Indonesia,15.76
ORD-10161,Hamilton-Wagner,CHC-00958,Sea Salt Milk Chocolate Truffle Box,20,2026-07-27,Delivered,Brazil,78.6
ORD-10162,Perez Group,CHC-00027,Diabetic Friendly Sugar-Free Chocolate Chips (Baking),16,2026-05-16,Delivered,UAE,60.96
ORD-10163,Frank-Giles,CHC-01017,Vanilla Bean White Chocolate Drops,33,2026-01-22,Pending,Ecuador,137.28
ORD-10164,"Williams, Baird and Mcpherson",CHC-01375,Bakers Classic Compound Chocolate Drops,7,2026-04-30,Delivered,Germany,14.14
ORD-10165,Johnson Ltd,CHC-00059,Value Pack Compound Chocolate Gift Box,22,2026-03-28,Shipped,Mexico,28.16
ORD-10166,"Baker, Gregory and Hill",CHC-00733,Stevia Sweetened Sugar-Free Chocolate Drops,12,2025-10-10,Shipped,Colombia,67.2
ORD-10167,"Drake, Johnson and Garcia",CHC-00163,Honeycomb Milk Chocolate Coated Nuts,26,2026-05-18,Delivered,Belgium,79.3
ORD-10168,Meyer Group,CHC-00419,Sea Salt Caramel Chocolate Truffle Box,53,2026-01-31,Delivered,USA,196.1
ORD-10169,Tapia LLC,CHC-00534,Honeycomb Milk Chocolate Bar,20,2026-07-05,Delivered,Belgium,59.8
ORD-10170,Torres Ltd,CHC-00202,Marzipan Style Almond Chocolate Gift Box,21,2026-06-17,Delivered,Cote d'Ivoire,68.46
ORD-10171,Martinez PLC,CHC-00007,Almond Crunch Chocolate Pralines,17,2026-05-27,Delivered,Australia,86.7
ORD-10172,"Valenzuela, Miller and Garza",CHC-01383,70% Intense Dark Chocolate Filled Bar,108,2026-06-27,Shipped,Italy,365.04
ORD-10173,Gonzales PLC,CHC-00778,Praline Hazelnut Chocolate Drops,50,2026-01-26,Pending,Cote d'Ivoire,224.5
ORD-10174,Mcclure Group,CHC-00247,Oat Milk Blend Vegan Dark Chocolate Bar,17,2026-06-20,Shipped,Indonesia,106.08
ORD-10175,"Roberts, Sanchez and Miller",CHC-01119,70% Intense Dark Chocolate Wafer Bar,61,2026-03-08,Pending,India,362.34
ORD-10176,"Mitchell, Gibson and Neal",CHC-00020,Lemon Zest White Chocolate Chips (Baking),88,2026-01-06,Pending,Switzerland,392.48
ORD-10177,Santos and Sons,CHC-00558,70% Intense Dark Chocolate Pralines,40,2025-11-16,Processing,France,160.0
ORD-10178,"Page, Murray and Kelley",CHC-01307,Roasted Almond Chocolate Truffle Box,28,2026-06-15,Delivered,USA,138.04
ORD-10179,"Woods, Fuentes and Johnson",CHC-00242,Whole Hazelnut Chocolate Truffle Box,86,2026-07-07,Pending,Canada,266.6
ORD-10180,Walker-Hunt,CHC-00493,Soft Caramel Core Chocolate Bar,28,2026-05-09,Delivered,United Kingdom,118.72
ORD-10181,Montes-Sanders,CHC-01062,85% Extra Bold Dark Chocolate Pralines,48,2026-06-27,Processing,South Africa,205.92
ORD-10182,Martin-Crane,CHC-00298,Cranberry Walnut Fruit & Nut Chocolate Filled Bar,82,2025-10-15,Processing,Indonesia,294.38
ORD-10183,Hawkins-Henry,CHC-00122,Single Origin Dark Chocolate Truffle Box,62,2026-04-08,Shipped,Belgium,323.64
ORD-10184,Johns-Robinson,CHC-00450,Classic Milk Chocolate Gift Box,145,2026-07-04,Delivered,Indonesia,333.5
ORD-10185,Barton and Sons,CHC-00767,70% Intense Dark Chocolate Bar,19,2026-02-08,Delivered,Peru,118.56
ORD-10186,"Jones, Savage and Gonzales",CHC-01315,Almond Crunch Chocolate Drops,54,2026-03-15,Processing,Switzerland,288.9
ORD-10187,Black Group,CHC-00053,Organic Raw Cacao Chocolate Bar,27,2025-10-17,Delivered,Indonesia,176.85
ORD-10188,Moss-Rodriguez,CHC-01383,70% Intense Dark Chocolate Filled Bar,14,2026-04-11,Shipped,Italy,47.32
ORD-10189,Hays Ltd,CHC-01019,Roasted Almond Chocolate Drops,25,2025-11-19,Delivered,Japan,96.5
ORD-10190,"Peck, Butler and Barnett",CHC-00500,Oat Milk Blend Vegan Dark Chocolate Filled Bar,37,2026-05-23,Delivered,Switzerland,203.87
ORD-10191,Leonard PLC,CHC-00652,Espresso Infused Dark Chocolate Squares,58,2025-12-15,Pending,UAE,172.26
ORD-10192,"Horn, Nicholson and Holmes",CHC-01266,Soft Caramel Core Chocolate Gift Box,20,2025-10-11,Delivered,Indonesia,76.4
ORD-10193,"Chase, Weeks and Cowan",CHC-01030,70% Intense Dark Chocolate Wafer Bar,22,2025-12-04,Delivered,UAE,130.9
ORD-10194,Glover-Erickson,CHC-01316,Honeycomb Milk Chocolate Drops,29,2026-03-27,Processing,Germany,62.35
ORD-10195,"Martinez, Pitts and Smith",CHC-00934,Biscuit Milk Chocolate Wafer Bar,10,2026-03-05,Pending,Germany,23.2
ORD-10196,"Willis, Jimenez and Estes",CHC-01284,Coconut Sugar Vegan Dark Chocolate Chips (Baking),9,2025-11-30,Pending,Germany,55.53
ORD-10197,"Hernandez, Horn and Ramirez",CHC-00371,Soft Caramel Core Chocolate Pralines,24,2026-07-19,Processing,India,114.24
ORD-10198,"Lawson, Gray and Chavez",CHC-00143,Soft Caramel Core Chocolate Coated Nuts,89,2025-12-31,Delivered,Switzerland,322.18
ORD-10199,Roberts-Gomez,CHC-00895,Citrus Ruby Chocolate Filled Bar,66,2026-01-08,Pending,Australia,456.72
ORD-10200,Myers-Peters,CHC-00844,85% Extra Bold Dark Chocolate Drops,88,2026-03-27,Processing,Peru,393.36
ORD-10201,Wong-Smith,CHC-01051,85% Extra Bold Dark Chocolate Gift Box,13,2026-02-11,Delivered,USA,79.69
ORD-10202,"Atkinson, Porter and Wallace",CHC-00090,Value Pack Compound Chocolate Coated Nuts,37,2025-11-20,Processing,Switzerland,68.82
ORD-10203,Herrera and Sons,CHC-00521,Confectionery Grade Compound Chocolate Pralines,44,2026-07-23,Processing,Canada,70.84
