InventoryID,ProductID,ProductName,WarehouseLocation,StockQuantity,ReorderLevel,LastRestockedDate,StockStatus
INV-000024,CHC-00244,Organic Raw Cacao Chocolate Gift Box,Middle East & Africa Distribution Center,350,70,2026-07-30,In Stock
INV-000025,CHC-00350,Tropical Mix Fruit & Nut Chocolate Drops,Asia Pacific Distribution Center,96,16,2026-07-25,In Stock
INV-000026,CHC-00174,Honeycomb Milk Chocolate Pralines,Latin America Distribution Center,276,76,2026-06-14,In Stock
INV-000027,CHC-01297,Sea Salt Milk Chocolate Pralines,Europe Distribution Center,1404,387,2026-06-11,In Stock
INV-000028,CHC-00688,Raspberry Swirl White Chocolate Bar,North America Distribution Center,843,158,2026-07-29,In Stock
INV-000029,CHC-01399,Single Origin Dark Chocolate Coated Nuts,Europe Distribution Center,157,53,2026-07-27,In Stock
INV-000030,CHC-00355,Raspberry Swirl White Chocolate Pralines,North America Distribution Center,714,125,2026-06-18,In Stock
INV-000031,CHC-00638,Raisin & Almond Fruit & Nut Chocolate Truffle Box,Latin America Distribution Center,2437,842,2026-06-08,In Stock
INV-000032,CHC-00804,Single Origin Dark Chocolate Wafer Bar,North America Distribution Center,397,129,2026-07-27,In Stock
INV-000033,CHC-00424,85% Extra Bold Dark Chocolate Drops,Europe Distribution Center,245,45,2026-06-16,In Stock
INV-000034,CHC-00245,Sea Salt Milk Chocolate Wafer Bar,Middle East & Africa Distribution Center,473,113,2026-07-07,In Stock
INV-000035,CHC-00360,Classic Milk Chocolate Filled Bar,Middle East & Africa Distribution Center,362,98,2026-06-16,In Stock
INV-000036,CHC-00546,Raisin & Almond Fruit & Nut Chocolate Chips (Baking),Middle East & Africa Distribution Center,562,90,2026-07-07,In Stock
INV-000037,CHC-01223,70% Intense Dark Chocolate Pralines,Middle East & Africa Distribution Center,327,92,2026-06-23,In Stock
INV-000038,CHC-00593,Soft Caramel Core Chocolate Wafer Bar,Asia Pacific Distribution Center,323,80,2026-07-04,In Stock
INV-000039,CHC-00045,Organic Single Origin Chocolate Truffle Box,Middle East & Africa Distribution Center,846,292,2026-06-05,In Stock
INV-000040,CHC-00587,Marzipan Style Almond Chocolate Gift Box,North America Distribution Center,97,18,2026-06-11,In Stock
INV-000041,CHC-00906,Coconut White Chocolate Coated Nuts,Europe Distribution Center,348,77,2026-06-10,In Stock
INV-000042,CHC-01352,Marzipan Style Almond Chocolate Coated Nuts,Europe Distribution Center,361,109,2026-07-10,In Stock
INV-000043,CHC-01281,Value Pack Compound Chocolate Squares,Asia Pacific Distribution Center,856,152,2026-07-23,In Stock
INV-000044,CHC-00719,Coconut White Chocolate Truffle Box,Europe Distribution Center,311,69,2026-07-09,In Stock
INV-000045,CHC-00677,Tropical Mix Fruit & Nut Chocolate Drops,Europe Distribution Center,602,118,2026-07-09,In Stock
INV-000046,CHC-00793,Coconut White Chocolate Drops,North America Distribution Center,487,92,2026-07-07,In Stock
INV-000047,CHC-00243,Coconut Sugar Vegan Dark Chocolate Coated Nuts,Asia Pacific Distribution Center,1183,227,2026-06-19,In Stock
INV-000048,CHC-00384,Bakers Classic Compound Chocolate Gift Box,Asia Pacific Distribution Center,226,56,2026-07-03,In Stock
INV-000049,CHC-00606,Lemon Zest White Chocolate Drops,Latin America Distribution Center,196,40,2026-06-25,In Stock
INV-000050,CHC-00437,Biscuit Milk Chocolate Truffle Box,Latin America Distribution Center,1107,174,2026-07-18,In Stock
INV-000051,CHC-00665,Single Origin Dark Chocolate Bar,Latin America Distribution Center,740,169,2026-07-05,In Stock
INV-000052,CHC-00247,Oat Milk Blend Vegan Dark Chocolate Bar,North America Distribution Center,1212,333,2026-07-05,In Stock
INV-000053,CHC-00605,Raisin & Almond Fruit & Nut Chocolate Coated Nuts,Europe Distribution Center,239,47,2026-07-12,In Stock
INV-000054,CHC-00696,85% Extra Bold Dark Chocolate Coated Nuts,Europe Distribution Center,478,81,2026-06-15,In Stock
INV-000055,CHC-00172,Marzipan Style Almond Chocolate Squares,Asia Pacific Distribution Center,239,40,2026-06-25,In Stock
INV-000056,CHC-01220,Biscuit Milk Chocolate Gift Box,Europe Distribution Center,825,217,2026-06-30,In Stock
INV-000057,CHC-00523,Coconut White Chocolate Filled Bar,Middle East & Africa Distribution Center,239,83,2026-07-19,In Stock
INV-000058,CHC-00130,Praline Hazelnut Chocolate Gift Box,Latin America Distribution Center,375,80,2026-07-02,In Stock
INV-000059,CHC-00744,Organic Raw Cacao Chocolate Coated Nuts,Europe Distribution Center,747,140,2026-07-01,In Stock
INV-000060,CHC-00361,Honeycomb Milk Chocolate Truffle Box,Europe Distribution Center,480,89,2026-07-07,In Stock
INV-000061,CHC-00931,70% Intense Dark Chocolate Filled Bar,North America Distribution Center,148,48,2026-06-08,In Stock
INV-000062,CHC-00420,Roasted Almond Chocolate Drops,Middle East & Africa Distribution Center,411,103,2026-08-02,In Stock
INV-000063,CHC-00919,Raisin & Almond Fruit & Nut Chocolate Coated Nuts,Asia Pacific Distribution Center,201,38,2026-06-25,In Stock
INV-000064,CHC-01469,Soft Caramel Core Chocolate Drops,Europe Distribution Center,805,138,2026-06-09,In Stock
INV-000065,CHC-01167,Bakers Classic Compound Chocolate Coated Nuts,Europe Distribution Center,1060,362,2026-06-22,In Stock
INV-000066,CHC-00073,Classic Milk Chocolate Gift Box,Middle East & Africa Distribution Center,136,27,2026-06-18,In Stock
INV-000067,CHC-01294,Oat Milk Blend Vegan Dark Chocolate Truffle Box,Europe Distribution Center,351,70,2026-07-07,In Stock
INV-000068,CHC-01394,Citrus Ruby Chocolate Squares,Europe Distribution Center,485,120,2026-07-26,In Stock
INV-000069,CHC-00560,Organic Fair-Trade Chocolate Gift Box,Asia Pacific Distribution Center,288,59,2026-06-11,In Stock
INV-000070,CHC-00928,Raspberry Swirl White Chocolate Filled Bar,Asia Pacific Distribution Center,375,95,2026-06-21,In Stock
INV-000071,CHC-00675,Raspberry Swirl White Chocolate Truffle Box,Middle East & Africa Distribution Center,619,177,2026-08-01,In Stock
INV-000072,CHC-00803,Oat Milk Blend Vegan Dark Chocolate Coated Nuts,Europe Distribution Center,206,42,2026-06-19,In Stock
INV-000073,CHC-00539,Salted Butter Caramel Chocolate Filled Bar,Europe Distribution Center,432,126,2026-07-14,In Stock
INV-000074,CHC-00211,Single Origin Dark Chocolate Squares,Europe Distribution Center,112,29,2026-07-09,In Stock
INV-000075,CHC-00726,Sea Salt Caramel Chocolate Pralines,Asia Pacific Distribution Center,455,138,2026-07-19,In Stock
INV-000076,CHC-00881,Praline Hazelnut Chocolate Wafer Bar,Europe Distribution Center,394,96,2026-06-17,In Stock
INV-000077,CHC-00816,Salted Butter Caramel Chocolate Coated Nuts,Europe Distribution Center,601,164,2026-07-13,In Stock
INV-000078,CHC-01063,Espresso Infused Dark Chocolate Coated Nuts,Latin America Distribution Center,394,114,2026-07-28,In Stock
INV-000079,CHC-00283,70% Intense Dark Chocolate Coated Nuts,Asia Pacific Distribution Center,377,98,2026-06-23,In Stock
INV-000080,CHC-00075,Salted Butter Caramel Chocolate Gift Box,Latin America Distribution Center,149,38,2026-06-13,In Stock
INV-000081,CHC-00985,Praline Hazelnut Chocolate Filled Bar,Asia Pacific Distribution Center,218,34,2026-07-13,In Stock
INV-000082,CHC-01097,70% Intense Dark Chocolate Truffle Box,Middle East & Africa Distribution Center,154,34,2026-07-17,In Stock
INV-000083,CHC-01020,Sea Salt Caramel Chocolate Pralines,Europe Distribution Center,426,93,2026-06-17,In Stock
INV-000084,CHC-00838,Whole Hazelnut Chocolate Filled Bar,Europe Distribution Center,559,166,2026-06-07,In Stock
INV-000085,CHC-01414,Salted Butter Caramel Chocolate Truffle Box,Latin America Distribution Center,99,19,2026-07-24,In Stock
INV-000086,CHC-00736,Roasted Almond Chocolate Bar,Europe Distribution Center,606,160,2026-07-12,In Stock
INV-000087,CHC-01435,85% Extra Bold Dark Chocolate Pralines,Europe Distribution Center,425,102,2026-07-07,In Stock
INV-000088,CHC-00321,Stevia Sweetened Sugar-Free Chocolate Chips (Baking),Middle East & Africa Distribution Center,1058,168,2026-06-18,In Stock
INV-000089,CHC-01197,Espresso Infused Dark Chocolate Wafer Bar,North America Distribution Center,1296,387,2026-07-23,In Stock
INV-000090,CHC-01276,Almond Crunch Chocolate Wafer Bar,Latin America Distribution Center,1413,334,2026-07-16,In Stock
INV-000091,CHC-00157,Raspberry Swirl White Chocolate Wafer Bar,Asia Pacific Distribution Center,300,103,2026-07-26,In Stock
INV-000092,CHC-00662,Espresso Infused Dark Chocolate Drops,Latin America Distribution Center,602,142,2026-07-28,In Stock
INV-000093,CHC-01327,Sea Salt Milk Chocolate Drops,Middle East & Africa Distribution Center,561,99,2026-06-10,In Stock
INV-000094,CHC-01438,Tropical Mix Fruit & Nut Chocolate Filled Bar,Asia Pacific Distribution Center,146,50,2026-07-09,In Stock
INV-000095,CHC-01232,Classic Milk Chocolate Squares,Middle East & Africa Distribution Center,333,84,2026-06-22,In Stock
INV-000096,CHC-00016,Classic Milk Chocolate Coated Nuts,Asia Pacific Distribution Center,1278,242,2026-06-16,In Stock
INV-000097,CHC-01047,Praline Hazelnut Chocolate Squares,Latin America Distribution Center,215,44,2026-06-11,In Stock
INV-000098,CHC-01427,Coconut Sugar Vegan Dark Chocolate Pralines,Asia Pacific Distribution Center,368,111,2026-06-16,In Stock
INV-000099,CHC-01203,Whole Hazelnut Chocolate Bar,Europe Distribution Center,542,129,2026-06-07,In Stock
INV-000100,CHC-00333,Salted Butter Caramel Chocolate Wafer Bar,Europe Distribution Center,145,46,2026-06-12,In Stock
INV-000101,CHC-00395,Espresso Infused Dark Chocolate Gift Box,Asia Pacific Distribution Center,448,126,2026-06-09,In Stock
INV-000102,CHC-00819,Gianduja Style Hazelnut Chocolate Drops,Latin America Distribution Center,553,102,2026-07-12,In Stock
INV-000103,CHC-00201,Salted Butter Caramel Chocolate Chips (Baking),Middle East & Africa Distribution Center,109,35,2026-07-14,In Stock
INV-000104,CHC-00858,85% Extra Bold Dark Chocolate Wafer Bar,Middle East & Africa Distribution Center,195,31,2026-07-18,In Stock
INV-000105,CHC-00646,Biscuit Milk Chocolate Gift Box,Latin America Distribution Center,260,46,2026-06-25,In Stock
INV-000106,CHC-00726,Sea Salt Caramel Chocolate Pralines,Europe Distribution Center,230,67,2026-08-01,In Stock
INV-000107,CHC-00478,Value Pack Compound Chocolate Squares,Europe Distribution Center,654,189,2026-07-24,In Stock
INV-000108,CHC-01275,Honeycomb Milk Chocolate Drops,Latin America Distribution Center,176,34,2026-06-12,In Stock
INV-000109,CHC-00378,Biscuit Milk Chocolate Bar,North America Distribution Center,614,213,2026-07-31,In Stock
INV-000110,CHC-00505,Sea Salt Caramel Chocolate Gift Box,North America Distribution Center,822,247,2026-06-16,In Stock
INV-000111,CHC-00258,Sea Salt Milk Chocolate Wafer Bar,Middle East & Africa Distribution Center,176,27,2026-07-01,In Stock
INV-000112,CHC-01156,Single Origin Dark Chocolate Coated Nuts,Europe Distribution Center,466,71,2026-07-19,In Stock
INV-000113,CHC-00530,Cranberry Walnut Fruit & Nut Chocolate Chips (Baking),Europe Distribution Center,583,129,2026-06-22,In Stock
INV-000114,CHC-00766,Whole Hazelnut Chocolate Wafer Bar,Europe Distribution Center,241,49,2026-07-18,In Stock
INV-000115,CHC-01484,Almond Crunch Chocolate Truffle Box,Latin America Distribution Center,1195,378,2026-07-17,In Stock
INV-000116,CHC-01302,Vanilla Bean White Chocolate Chips (Baking),Europe Distribution Center,171,36,2026-06-21,In Stock
INV-000117,CHC-01060,85% Extra Bold Dark Chocolate Drops,North America Distribution Center,835,145,2026-06-07,In Stock
INV-000118,CHC-00963,Honeycomb Milk Chocolate Truffle Box,Europe Distribution Center,573,95,2026-06-11,In Stock
INV-000119,CHC-00126,Almond Crunch Chocolate Bar,Latin America Distribution Center,235,40,2026-07-23,In Stock
INV-000120,CHC-00171,Honeycomb Milk Chocolate Drops,Europe Distribution Center,707,238,2026-07-10,In Stock
INV-000121,CHC-00935,Organic Raw Cacao Chocolate Wafer Bar,Asia Pacific Distribution Center,448,108,2026-06-09,In Stock
INV-000122,CHC-00452,Sea Salt Milk Chocolate Bar,Asia Pacific Distribution Center,941,278,2026-06-24,In Stock
INV-000123,CHC-00566,Honeycomb Milk Chocolate Squares,Europe Distribution Center,572,186,2026-07-02,In Stock
INV-000124,CHC-00210,Diabetic Friendly Sugar-Free Chocolate Squares,North America Distribution Center,79,23,2026-07-09,In Stock
INV-000125,CHC-01022,85% Extra Bold Dark Chocolate Truffle Box,Middle East & Africa Distribution Center,484,140,2026-07-24,In Stock
INV-000126,CHC-00404,Vanilla Bean White Chocolate Squares,Latin America Distribution Center,134,34,2026-06-05,In Stock
INV-000127,CHC-01179,Single Origin Dark Chocolate Filled Bar,Europe Distribution Center,665,197,2026-06-12,In Stock
INV-000128,CHC-01443,Plant-Based Classic Vegan Dark Chocolate Drops,Asia Pacific Distribution Center,1482,478,2026-06-28,In Stock
INV-000129,CHC-01208,Biscuit Milk Chocolate Drops,Europe Distribution Center,739,257,2026-06-21,In Stock
INV-000130,CHC-00898,Single Origin Dark Chocolate Coated Nuts,Europe Distribution Center,1237,242,2026-07-27,In Stock
INV-000131,CHC-01183,Raisin & Almond Fruit & Nut Chocolate Pralines,Middle East & Africa Distribution Center,634,187,2026-07-06,In Stock
INV-000132,CHC-01426,Cranberry Walnut Fruit & Nut Chocolate Gift Box,North America Distribution Center,762,184,2026-07-15,In Stock
INV-000133,CHC-01201,85% Extra Bold Dark Chocolate Gift Box,North America Distribution Center,308,57,2026-07-31,In Stock
INV-000134,CHC-01168,Sea Salt Caramel Chocolate Drops,North America Distribution Center,2705,913,2026-07-08,In Stock
INV-000135,CHC-00381,Whole Hazelnut Chocolate Filled Bar,North America Distribution Center,332,85,2026-06-15,In Stock
INV-000136,CHC-01106,Original Ruby Chocolate Drops,Europe Distribution Center,588,92,2026-07-27,In Stock
INV-000137,CHC-00469,Roasted Almond Chocolate Filled Bar,Middle East & Africa Distribution Center,236,76,2026-06-25,In Stock
INV-000138,CHC-00222,Berry Burst Ruby Chocolate Wafer Bar,North America Distribution Center,1134,367,2026-06-14,In Stock
INV-000139,CHC-00213,Citrus Ruby Chocolate Bar,Asia Pacific Distribution Center,635,193,2026-06-06,In Stock
INV-000140,CHC-00895,Citrus Ruby Chocolate Filled Bar,Europe Distribution Center,325,70,2026-06-13,In Stock
INV-000141,CHC-00669,Plant-Based Classic Vegan Dark Chocolate Bar,North America Distribution Center,208,35,2026-06-19,In Stock
INV-000142,CHC-01087,Biscuit Milk Chocolate Drops,Latin America Distribution Center,297,99,2026-07-10,In Stock
INV-000143,CHC-00787,Coconut White Chocolate Pralines,Middle East & Africa Distribution Center,148,22,2026-06-30,In Stock
INV-000144,CHC-00501,70% Intense Dark Chocolate Bar,Asia Pacific Distribution Center,570,107,2026-07-28,In Stock
INV-000145,CHC-00626,Coconut White Chocolate Wafer Bar,Europe Distribution Center,1028,180,2026-06-30,In Stock
INV-000146,CHC-00778,Praline Hazelnut Chocolate Drops,Europe Distribution Center,970,290,2026-06-16,In Stock
INV-000147,CHC-00775,Sea Salt Caramel Chocolate Chips (Baking),North America Distribution Center,272,48,2026-07-27,In Stock
INV-000148,CHC-00212,Gianduja Style Hazelnut Chocolate Gift Box,Latin America Distribution Center,275,84,2026-07-20,In Stock
INV-000149,CHC-01490,Confectionery Grade Compound Chocolate Truffle Box,Latin America Distribution Center,613,149,2026-07-26,In Stock
INV-000150,CHC-01293,Coconut White Chocolate Pralines,Europe Distribution Center,1038,338,2026-06-30,In Stock
INV-000151,CHC-00504,Soft Caramel Core Chocolate Wafer Bar,Middle East & Africa Distribution Center,273,83,2026-07-09,In Stock
INV-000152,CHC-01115,Biscuit Milk Chocolate Drops,Asia Pacific Distribution Center,77,17,2026-07-22,In Stock
INV-000153,CHC-01322,Honeycomb Milk Chocolate Filled Bar,Asia Pacific Distribution Center,317,72,2026-06-19,In Stock
INV-000154,CHC-00595,Single Origin Dark Chocolate Gift Box,North America Distribution Center,243,64,2026-07-31,In Stock
INV-000155,CHC-01027,Single Origin Dark Chocolate Coated Nuts,Asia Pacific Distribution Center,1128,199,2026-06-13,In Stock
INV-000156,CHC-00269,Organic Fair-Trade Chocolate Drops,Asia Pacific Distribution Center,95,25,2026-07-28,In Stock
INV-000157,CHC-00823,Salted Butter Caramel Chocolate Wafer Bar,Europe Distribution Center,1272,270,2026-06-11,In Stock
INV-000158,CHC-00024,Coconut White Chocolate Truffle Box,Asia Pacific Distribution Center,1815,507,2026-06-08,In Stock
INV-000159,CHC-00047,Espresso Infused Dark Chocolate Bar,North America Distribution Center,269,87,2026-07-27,In Stock
INV-000160,CHC-01183,Raisin & Almond Fruit & Nut Chocolate Pralines,Middle East & Africa Distribution Center,839,231,2026-06-11,In Stock
INV-000161,CHC-00566,Honeycomb Milk Chocolate Squares,Europe Distribution Center,243,83,2026-06-20,In Stock
INV-000162,CHC-00191,Classic Sugar-Free Chocolate Filled Bar,Latin America Distribution Center,990,283,2026-07-19,In Stock
INV-000163,CHC-01391,Single Origin Dark Chocolate Wafer Bar,Europe Distribution Center,122,24,2026-06-08,In Stock
INV-000164,CHC-00675,Raspberry Swirl White Chocolate Truffle Box,Asia Pacific Distribution Center,188,62,2026-07-23,In Stock
INV-000165,CHC-01471,Lemon Zest White Chocolate Wafer Bar,Europe Distribution Center,963,233,2026-07-21,In Stock
INV-000166,CHC-01278,Organic Single Origin Chocolate Truffle Box,Asia Pacific Distribution Center,1338,319,2026-06-09,In Stock
INV-000167,CHC-01235,Stevia Sweetened Sugar-Free Chocolate Pralines,Latin America Distribution Center,407,92,2026-07-31,In Stock
INV-000168,CHC-00043,Soft Caramel Core Chocolate Coated Nuts,Asia Pacific Distribution Center,640,136,2026-06-27,In Stock
INV-000169,CHC-00783,Organic Single Origin Chocolate Coated Nuts,Europe Distribution Center,157,25,2026-07-27,In Stock
INV-000170,CHC-00071,85% Extra Bold Dark Chocolate Filled Bar,Europe Distribution Center,1106,287,2026-07-11,In Stock
INV-000171,CHC-01369,Classic Milk Chocolate Drops,Europe Distribution Center,591,187,2026-07-25,In Stock
INV-000172,CHC-00214,Sea Salt Milk Chocolate Pralines,Europe Distribution Center,836,231,2026-06-30,In Stock
INV-000173,CHC-00550,70% Intense Dark Chocolate Coated Nuts,North America Distribution Center,377,89,2026-06-19,In Stock
INV-000174,CHC-00960,70% Intense Dark Chocolate Filled Bar,Asia Pacific Distribution Center,235,74,2026-06-17,In Stock
INV-000175,CHC-00761,70% Intense Dark Chocolate Coated Nuts,Latin America Distribution Center,704,231,2026-07-02,In Stock
INV-000176,CHC-00878,Almond Crunch Chocolate Bar,Middle East & Africa Distribution Center,214,44,2026-07-31,In Stock
INV-000177,CHC-01284,Coconut Sugar Vegan Dark Chocolate Chips (Baking),Asia Pacific Distribution Center,372,109,2026-06-19,In Stock
INV-000178,CHC-01032,Plant-Based Classic Vegan Dark Chocolate Chips (Baking),Latin America Distribution Center,86,25,2026-06-25,In Stock
INV-000179,CHC-00603,70% Intense Dark Chocolate Gift Box,Europe Distribution Center,1041,339,2026-06-21,In Stock
INV-000180,CHC-00828,Soft Caramel Core Chocolate Squares,Latin America Distribution Center,610,106,2026-07-29,In Stock
INV-000181,CHC-00555,Single Origin Dark Chocolate Pralines,Asia Pacific Distribution Center,477,77,2026-07-17,In Stock
INV-000182,CHC-01263,Sea Salt Caramel Chocolate Pralines,Middle East & Africa Distribution Center,973,151,2026-07-08,In Stock
INV-000183,CHC-00211,Single Origin Dark Chocolate Squares,Asia Pacific Distribution Center,913,158,2026-06-20,In Stock
INV-000184,CHC-00784,Roasted Almond Chocolate Gift Box,Europe Distribution Center,361,100,2026-07-04,In Stock
INV-000185,CHC-01106,Original Ruby Chocolate Drops,Europe Distribution Center,370,114,2026-06-09,In Stock
INV-000186,CHC-00164,Diabetic Friendly Sugar-Free Chocolate Coated Nuts,Europe Distribution Center,259,68,2026-07-25,In Stock
INV-000187,CHC-00240,Coconut Sugar Vegan Dark Chocolate Bar,North America Distribution Center,449,145,2026-07-11,In Stock
INV-000188,CHC-01494,Cranberry Walnut Fruit & Nut Chocolate Pralines,North America Distribution Center,255,77,2026-07-14,In Stock
INV-000189,CHC-01266,Soft Caramel Core Chocolate Gift Box,Middle East & Africa Distribution Center,310,47,2026-06-11,In Stock
INV-000190,CHC-00078,Tropical Mix Fruit & Nut Chocolate Coated Nuts,Europe Distribution Center,320,57,2026-07-26,In Stock
INV-000191,CHC-01297,Sea Salt Milk Chocolate Pralines,Asia Pacific Distribution Center,771,198,2026-07-26,In Stock
INV-000192,CHC-00019,Biscuit Milk Chocolate Gift Box,Europe Distribution Center,1034,278,2026-06-14,In Stock
INV-000193,CHC-00883,Honeycomb Milk Chocolate Squares,Europe Distribution Center,429,77,2026-07-08,In Stock
INV-000194,CHC-00312,Honeycomb Milk Chocolate Wafer Bar,Europe Distribution Center,1047,304,2026-06-25,In Stock
INV-000195,CHC-00291,Salted Butter Caramel Chocolate Truffle Box,North America Distribution Center,254,66,2026-07-23,In Stock
INV-000196,CHC-01389,Berry Burst Ruby Chocolate Bar,Europe Distribution Center,1107,218,2026-07-21,In Stock
INV-000197,CHC-01249,Gianduja Style Hazelnut Chocolate Drops,Middle East & Africa Distribution Center,306,93,2026-06-23,In Stock
INV-000198,CHC-01084,Plant-Based Classic Vegan Dark Chocolate Truffle Box,Middle East & Africa Distribution Center,596,103,2026-07-27,In Stock
INV-000199,CHC-00812,85% Extra Bold Dark Chocolate Pralines,Europe Distribution Center,202,39,2026-07-25,In Stock
INV-000200,CHC-00400,Bakers Classic Compound Chocolate Pralines,Middle East & Africa Distribution Center,849,217,2026-07-13,In Stock
INV-000201,CHC-00568,Classic Milk Chocolate Filled Bar,Europe Distribution Center,564,107,2026-07-03,In Stock
INV-000202,CHC-00750,Coconut White Chocolate Truffle Box,Europe Distribution Center,691,211,2026-07-06,In Stock
INV-000203,CHC-00647,Soft Caramel Core Chocolate Drops,Europe Distribution Center,457,129,2026-07-23,In Stock
INV-000204,CHC-01225,Marzipan Style Almond Chocolate Drops,Europe Distribution Center,707,232,2026-06-09,In Stock
INV-000205,CHC-00498,Original Ruby Chocolate Chips (Baking),Asia Pacific Distribution Center,629,148,2026-06-10,In Stock
INV-000206,CHC-01419,Plant-Based Classic Vegan Dark Chocolate Truffle Box,Latin America Distribution Center,68,12,2026-07-19,In Stock
INV-000207,CHC-01052,Single Origin Dark Chocolate Drops,Middle East & Africa Distribution Center,458,112,2026-06-22,In Stock
INV-000208,CHC-01323,Raisin & Almond Fruit & Nut Chocolate Filled Bar,Middle East & Africa Distribution Center,205,41,2026-06-13,In Stock
INV-000209,CHC-00039,Almond Crunch Chocolate Truffle Box,Europe Distribution Center,469,79,2026-08-02,In Stock
INV-000210,CHC-01375,Bakers Classic Compound Chocolate Drops,Europe Distribution Center,1547,326,2026-07-18,In Stock
INV-000211,CHC-00134,Whole Hazelnut Chocolate Pralines,Asia Pacific Distribution Center,266,42,2026-07-12,In Stock
INV-000212,CHC-00867,Whole Hazelnut Chocolate Filled Bar,Latin America Distribution Center,481,132,2026-07-01,In Stock
INV-000213,CHC-00898,Single Origin Dark Chocolate Coated Nuts,Latin America Distribution Center,374,121,2026-07-07,In Stock
INV-000214,CHC-00365,Whole Hazelnut Chocolate Wafer Bar,Europe Distribution Center,530,173,2026-07-27,In Stock
INV-000215,CHC-00470,Confectionery Grade Compound Chocolate Coated Nuts,Europe Distribution Center,320,70,2026-07-23,In Stock
INV-000216,CHC-00674,Espresso Infused Dark Chocolate Filled Bar,Europe Distribution Center,15,10,2026-07-17,In Stock
INV-000217,CHC-00032,Espresso Infused Dark Chocolate Truffle Box,Latin America Distribution Center,503,84,2026-07-25,In Stock
INV-000218,CHC-01180,Diabetic Friendly Sugar-Free Chocolate Bar,Latin America Distribution Center,555,89,2026-07-22,In Stock
INV-000219,CHC-01494,Cranberry Walnut Fruit & Nut Chocolate Pralines,Asia Pacific Distribution Center,102,29,2026-07-26,In Stock
INV-000220,CHC-00954,Whole Hazelnut Chocolate Wafer Bar,Europe Distribution Center,1856,363,2026-07-27,In Stock
INV-000221,CHC-01214,Stevia Sweetened Sugar-Free Chocolate Gift Box,Latin America Distribution Center,467,89,2026-07-01,In Stock
INV-000222,CHC-01137,Classic Sugar-Free Chocolate Drops,Europe Distribution Center,801,231,2026-07-13,In Stock
INV-000223,CHC-01293,Coconut White Chocolate Pralines,Europe Distribution Center,99,20,2026-06-07,In Stock
INV-000224,CHC-00250,Sea Salt Caramel Chocolate Coated Nuts,Latin America Distribution Center,776,262,2026-06-09,In Stock
INV-000225,CHC-01181,Whole Hazelnut Chocolate Chips (Baking),Europe Distribution Center,195,61,2026-07-26,In Stock
