SaleID,Date,ProductID,ProductName,Region,Country,Channel,QuantitySold,UnitPrice,RevenueUSD
SALE-000048,2025-12-28,CHC-01327,Sea Salt Milk Chocolate Drops,Middle East & Africa,UAE,Duty-Free,9,2.58,23.22
SALE-000049,2025-10-28,CHC-00898,Single Origin Dark Chocolate Coated Nuts,Europe,Italy,Direct-to-Consumer,27,5.78,156.06
SALE-000050,2026-05-13,CHC-00216,Raspberry Swirl White Chocolate Bar,North America,Mexico,Wholesale Distributor,102,3.09,315.18
SALE-000051,2025-11-13,CHC-01246,Bakers Classic Compound Chocolate Wafer Bar,Middle East & Africa,Ghana,Retail Store,26,1.86,48.36
SALE-000052,2025-08-20,CHC-00310,Coconut White Chocolate Pralines,Middle East & Africa,UAE,Retail Store,42,3.79,159.18
SALE-000053,2025-08-10,CHC-00702,Gianduja Style Hazelnut Chocolate Drops,Europe,France,Duty-Free,21,4.68,98.28
SALE-000054,2026-01-07,CHC-00683,Praline Hazelnut Chocolate Filled Bar,Europe,France,E-Commerce,21,3.03,63.63
SALE-000055,2026-06-26,CHC-00322,Espresso Infused Dark Chocolate Gift Box,Europe,France,Retail Store,31,4.06,125.86
SALE-000056,2026-07-05,CHC-00192,Salted Butter Caramel Chocolate Drops,Middle East & Africa,Cote d'Ivoire,Wholesale Distributor,59,3.88,228.92
SALE-000057,2026-03-04,CHC-01496,Sea Salt Caramel Chocolate Wafer Bar,Middle East & Africa,South Africa,Retail Store,13,3.45,44.85
SALE-000058,2025-11-09,CHC-00335,Soft Caramel Core Chocolate Drops,Europe,Switzerland,Duty-Free,15,4.37,65.55
SALE-000059,2026-04-04,CHC-00037,Value Pack Compound Chocolate Gift Box,Latin America,Peru,Retail Store,123,2.24,275.52
SALE-000060,2026-01-08,CHC-00141,70% Intense Dark Chocolate Coated Nuts,Middle East & Africa,South Africa,Duty-Free,132,4.64,612.48
SALE-000061,2026-03-01,CHC-00422,Biscuit Milk Chocolate Squares,Europe,France,Duty-Free,34,2.07,70.38
SALE-000062,2025-08-20,CHC-00551,Stevia Sweetened Sugar-Free Chocolate Pralines,Middle East & Africa,South Africa,Wholesale Distributor,33,4.31,142.23
SALE-000063,2026-01-19,CHC-01426,Cranberry Walnut Fruit & Nut Chocolate Gift Box,Middle East & Africa,South Africa,Wholesale Distributor,15,4.07,61.05
SALE-000064,2025-10-25,CHC-00326,Roasted Almond Chocolate Chips (Baking),Middle East & Africa,Ghana,Duty-Free,10,3.81,38.1
SALE-000065,2026-01-22,CHC-00177,Berry Burst Ruby Chocolate Coated Nuts,North America,Canada,E-Commerce,8,7.95,63.6
SALE-000066,2025-10-28,CHC-00757,Raisin & Almond Fruit & Nut Chocolate Drops,Middle East & Africa,Cote d'Ivoire,E-Commerce,26,2.99,77.74
SALE-000067,2026-05-01,CHC-00343,Tropical Mix Fruit & Nut Chocolate Wafer Bar,Latin America,Brazil,Direct-to-Consumer,23,3.42,78.66
SALE-000068,2026-05-24,CHC-01117,Salted Butter Caramel Chocolate Truffle Box,Europe,Italy,Wholesale Distributor,52,3.79,197.08
SALE-000069,2025-10-24,CHC-00927,Soft Caramel Core Chocolate Drops,Europe,Switzerland,Retail Store,26,4.37,113.62
SALE-000070,2025-11-03,CHC-00820,Stevia Sweetened Sugar-Free Chocolate Drops,Asia Pacific,Australia,Wholesale Distributor,51,4.74,241.74
SALE-000071,2025-09-28,CHC-00939,70% Intense Dark Chocolate Drops,North America,Mexico,Wholesale Distributor,4,4.56,18.24
SALE-000072,2026-02-27,CHC-00726,Sea Salt Caramel Chocolate Pralines,Europe,France,Direct-to-Consumer,87,3.13,272.31
SALE-000073,2026-02-24,CHC-01360,Cranberry Walnut Fruit & Nut Chocolate Gift Box,Europe,Italy,Retail Store,186,3.86,717.96
SALE-000074,2025-11-09,CHC-00518,Single Origin Dark Chocolate Squares,Asia Pacific,Indonesia,Duty-Free,171,4.74,810.54
SALE-000075,2025-10-23,CHC-00937,Citrus Ruby Chocolate Gift Box,Latin America,Ecuador,Wholesale Distributor,19,5.0,95.0
SALE-000076,2026-01-25,CHC-00514,Classic Milk Chocolate Filled Bar,Asia Pacific,Indonesia,Wholesale Distributor,17,4.01,68.17
SALE-000077,2025-09-13,CHC-00703,Classic Milk Chocolate Gift Box,Europe,Switzerland,Duty-Free,9,2.23,20.07
SALE-000078,2026-02-26,CHC-01223,70% Intense Dark Chocolate Pralines,Middle East & Africa,South Africa,Duty-Free,7,6.11,42.77
SALE-000079,2026-07-12,CHC-00193,Lemon Zest White Chocolate Gift Box,Europe,France,E-Commerce,33,4.21,138.93
SALE-000080,2025-11-23,CHC-01397,85% Extra Bold Dark Chocolate Filled Bar,Europe,France,Direct-to-Consumer,39,3.61,140.79
SALE-000081,2025-12-25,CHC-01329,Sea Salt Milk Chocolate Truffle Box,Asia Pacific,Australia,Duty-Free,6,4.15,24.9
SALE-000082,2026-03-26,CHC-00247,Oat Milk Blend Vegan Dark Chocolate Bar,Asia Pacific,Indonesia,Duty-Free,5,6.24,31.2
SALE-000083,2025-09-27,CHC-00308,Espresso Infused Dark Chocolate Drops,Asia Pacific,India,E-Commerce,44,3.07,135.08
SALE-000084,2026-01-19,CHC-00954,Whole Hazelnut Chocolate Wafer Bar,Asia Pacific,China,E-Commerce,28,3.67,102.76
SALE-000085,2025-08-14,CHC-01450,Marzipan Style Almond Chocolate Chips (Baking),Asia Pacific,Japan,Direct-to-Consumer,34,4.15,141.1
SALE-000086,2025-10-15,CHC-00141,70% Intense Dark Chocolate Coated Nuts,Middle East & Africa,South Africa,Retail Store,21,4.64,97.44
SALE-000087,2025-12-26,CHC-00600,Diabetic Friendly Sugar-Free Chocolate Pralines,Middle East & Africa,South Africa,Wholesale Distributor,9,5.21,46.89
SALE-000088,2026-04-27,CHC-01420,85% Extra Bold Dark Chocolate Gift Box,Europe,Belgium,Direct-to-Consumer,50,5.88,294.0
SALE-000089,2025-10-31,CHC-01095,Classic Sugar-Free Chocolate Chips (Baking),Europe,Switzerland,E-Commerce,35,5.13,179.55
SALE-000090,2026-01-30,CHC-00016,Classic Milk Chocolate Coated Nuts,Europe,Netherlands,Retail Store,69,2.74,189.06
SALE-000091,2026-05-25,CHC-01019,Roasted Almond Chocolate Drops,Asia Pacific,Japan,Duty-Free,5,3.86,19.3
SALE-000092,2025-10-04,CHC-00561,70% Intense Dark Chocolate Drops,Europe,Belgium,E-Commerce,30,3.09,92.7
SALE-000093,2025-12-13,CHC-00887,Praline Hazelnut Chocolate Coated Nuts,Europe,France,E-Commerce,11,4.64,51.04
SALE-000094,2025-12-28,CHC-01349,Coconut White Chocolate Drops,North America,Mexico,Duty-Free,19,3.37,64.03
SALE-000095,2025-12-07,CHC-01303,Almond Crunch Chocolate Gift Box,Europe,France,Direct-to-Consumer,20,5.0,100.0
SALE-000096,2026-07-31,CHC-00543,85% Extra Bold Dark Chocolate Drops,Middle East & Africa,South Africa,Wholesale Distributor,49,4.17,204.33
SALE-000097,2026-06-07,CHC-01101,Whole Hazelnut Chocolate Coated Nuts,Europe,Germany,E-Commerce,44,3.53,155.32
SALE-000098,2025-09-07,CHC-00084,Roasted Almond Chocolate Squares,Latin America,Brazil,Wholesale Distributor,15,5.14,77.1
SALE-000099,2026-07-22,CHC-00878,Almond Crunch Chocolate Bar,Europe,Germany,Direct-to-Consumer,39,4.08,159.12
SALE-000100,2026-01-18,CHC-01456,Espresso Infused Dark Chocolate Wafer Bar,Europe,Germany,Retail Store,5,4.86,24.3
SALE-000101,2026-01-18,CHC-00185,Vanilla Bean White Chocolate Coated Nuts,North America,Canada,Duty-Free,13,4.47,58.11
SALE-000102,2025-12-05,CHC-00333,Salted Butter Caramel Chocolate Wafer Bar,Europe,France,Wholesale Distributor,29,4.82,139.78
SALE-000103,2026-05-19,CHC-00168,Original Ruby Chocolate Drops,Asia Pacific,India,Duty-Free,22,4.59,100.98
SALE-000104,2026-05-20,CHC-01065,Vanilla Bean White Chocolate Gift Box,North America,USA,Direct-to-Consumer,46,2.88,132.48
SALE-000105,2025-09-06,CHC-00295,70% Intense Dark Chocolate Bar,Asia Pacific,India,Wholesale Distributor,16,3.07,49.12
SALE-000106,2026-02-11,CHC-00741,Coconut White Chocolate Gift Box,Latin America,Colombia,Retail Store,8,4.06,32.48
SALE-000107,2025-10-05,CHC-00667,Espresso Infused Dark Chocolate Gift Box,Middle East & Africa,Ghana,Wholesale Distributor,67,3.55,237.85
SALE-000108,2025-12-05,CHC-00927,Soft Caramel Core Chocolate Drops,Europe,Switzerland,Retail Store,75,4.37,327.75
SALE-000109,2025-08-18,CHC-00447,Espresso Infused Dark Chocolate Gift Box,Asia Pacific,Australia,Duty-Free,20,5.31,106.2
SALE-000110,2025-08-07,CHC-00632,Honeycomb Milk Chocolate Bar,North America,Mexico,Direct-to-Consumer,29,4.02,116.58
SALE-000111,2025-11-12,CHC-00244,Organic Raw Cacao Chocolate Gift Box,Europe,Belgium,E-Commerce,36,5.02,180.72
SALE-000112,2026-07-20,CHC-01231,Citrus Ruby Chocolate Drops,North America,Mexico,Retail Store,191,7.58,1447.78
SALE-000113,2026-05-01,CHC-00464,Raspberry Swirl White Chocolate Squares,Europe,Germany,Wholesale Distributor,59,3.61,212.99
SALE-000114,2025-10-01,CHC-01475,Biscuit Milk Chocolate Drops,Europe,Belgium,Retail Store,13,2.35,30.55
SALE-000115,2026-04-17,CHC-00482,Single Origin Dark Chocolate Filled Bar,North America,Mexico,Retail Store,94,4.41,414.54
SALE-000116,2026-07-22,CHC-01039,Honeycomb Milk Chocolate Truffle Box,Middle East & Africa,Cote d'Ivoire,Duty-Free,27,3.61,97.47
SALE-000117,2026-01-19,CHC-00749,Whole Hazelnut Chocolate Wafer Bar,Middle East & Africa,South Africa,Retail Store,42,4.39,184.38
SALE-000118,2026-05-20,CHC-00332,Whole Hazelnut Chocolate Bar,Middle East & Africa,Ghana,Direct-to-Consumer,52,3.7,192.4
SALE-000119,2025-09-06,CHC-00233,Roasted Almond Chocolate Filled Bar,North America,Mexico,Retail Store,20,3.98,79.6
SALE-000120,2026-06-27,CHC-01150,Oat Milk Blend Vegan Dark Chocolate Gift Box,Europe,Belgium,Direct-to-Consumer,51,5.15,262.65
SALE-000121,2025-10-28,CHC-01201,85% Extra Bold Dark Chocolate Gift Box,Europe,Belgium,Retail Store,6,4.63,27.78
SALE-000122,2025-12-03,CHC-01360,Cranberry Walnut Fruit & Nut Chocolate Gift Box,Europe,Italy,E-Commerce,29,3.86,111.94
SALE-000123,2026-02-15,CHC-00709,Single Origin Dark Chocolate Filled Bar,Asia Pacific,China,Retail Store,46,2.86,131.56
SALE-000124,2026-01-05,CHC-00080,Honeycomb Milk Chocolate Bar,Latin America,Brazil,Duty-Free,125,3.31,413.75
SALE-000125,2025-10-07,CHC-00670,85% Extra Bold Dark Chocolate Coated Nuts,Middle East & Africa,Ghana,Retail Store,22,2.71,59.62
SALE-000126,2025-10-11,CHC-00148,85% Extra Bold Dark Chocolate Wafer Bar,Europe,Belgium,Duty-Free,49,3.26,159.74
SALE-000127,2026-01-08,CHC-00132,Roasted Almond Chocolate Pralines,Asia Pacific,Japan,E-Commerce,22,5.19,114.18
SALE-000128,2026-07-01,CHC-00990,Value Pack Compound Chocolate Pralines,North America,USA,Wholesale Distributor,59,1.61,94.99
SALE-000129,2025-10-30,CHC-00660,Honeycomb Milk Chocolate Filled Bar,Asia Pacific,China,Duty-Free,11,4.09,44.99
SALE-000130,2026-05-30,CHC-01296,Value Pack Compound Chocolate Chips (Baking),Europe,Belgium,Wholesale Distributor,12,1.42,17.04
SALE-000131,2026-04-02,CHC-00446,Tropical Mix Fruit & Nut Chocolate Gift Box,Middle East & Africa,Ghana,E-Commerce,35,3.48,121.8
SALE-000132,2026-05-25,CHC-00506,Gianduja Style Hazelnut Chocolate Filled Bar,Asia Pacific,China,Direct-to-Consumer,43,4.07,175.01
SALE-000133,2026-03-10,CHC-00295,70% Intense Dark Chocolate Bar,Asia Pacific,India,Duty-Free,66,3.07,202.62
SALE-000134,2025-10-25,CHC-01338,Almond Crunch Chocolate Coated Nuts,Europe,Netherlands,E-Commerce,24,3.86,92.64
SALE-000135,2025-12-02,CHC-00209,Berry Burst Ruby Chocolate Pralines,Europe,Switzerland,E-Commerce,7,6.13,42.91
SALE-000136,2026-02-22,CHC-00773,70% Intense Dark Chocolate Squares,Middle East & Africa,South Africa,Direct-to-Consumer,72,4.73,340.56
SALE-000137,2026-05-10,CHC-00908,Espresso Infused Dark Chocolate Bar,Europe,Netherlands,Retail Store,17,6.05,102.85
SALE-000138,2026-07-10,CHC-00747,Cranberry Walnut Fruit & Nut Chocolate Drops,Middle East & Africa,Cote d'Ivoire,Wholesale Distributor,67,5.36,359.12
SALE-000139,2026-03-12,CHC-00726,Sea Salt Caramel Chocolate Pralines,Europe,France,Wholesale Distributor,79,3.13,247.27
SALE-000140,2026-04-02,CHC-01071,Bakers Classic Compound Chocolate Bar,Asia Pacific,Indonesia,Direct-to-Consumer,24,1.97,47.28
SALE-000141,2026-02-15,CHC-00234,Coconut Sugar Vegan Dark Chocolate Drops,North America,USA,Duty-Free,32,6.03,192.96
SALE-000142,2026-06-30,CHC-01109,Soft Caramel Core Chocolate Truffle Box,Asia Pacific,Japan,Retail Store,20,4.26,85.2
SALE-000143,2025-09-25,CHC-01466,Value Pack Compound Chocolate Gift Box,Europe,France,Retail Store,81,1.29,104.49
SALE-000144,2026-08-01,CHC-00635,Espresso Infused Dark Chocolate Drops,North America,Canada,Direct-to-Consumer,37,4.29,158.73
SALE-000145,2026-04-23,CHC-00323,Sea Salt Caramel Chocolate Filled Bar,Latin America,Peru,E-Commerce,11,3.34,36.74
SALE-000146,2026-07-18,CHC-00056,Honeycomb Milk Chocolate Bar,Europe,Germany,Direct-to-Consumer,261,3.2,835.2
SALE-000147,2026-02-06,CHC-01358,Marzipan Style Almond Chocolate Truffle Box,Europe,Germany,Retail Store,14,4.76,66.64
SALE-000148,2026-07-03,CHC-00415,Tropical Mix Fruit & Nut Chocolate Filled Bar,Europe,Germany,Duty-Free,31,5.12,158.72
SALE-000149,2026-03-04,CHC-00575,Berry Burst Ruby Chocolate Wafer Bar,North America,USA,Direct-to-Consumer,14,4.44,62.16
SALE-000150,2025-08-12,CHC-01088,Praline Hazelnut Chocolate Wafer Bar,North America,Canada,E-Commerce,63,3.28,206.64
SALE-000151,2026-02-19,CHC-00835,70% Intense Dark Chocolate Bar,Middle East & Africa,Cote d'Ivoire,E-Commerce,51,2.61,133.11
SALE-000152,2025-08-04,CHC-00349,70% Intense Dark Chocolate Truffle Box,Europe,Switzerland,E-Commerce,7,3.15,22.05
SALE-000153,2025-10-11,CHC-01316,Honeycomb Milk Chocolate Drops,Europe,Germany,Wholesale Distributor,51,2.15,109.65
SALE-000154,2026-01-06,CHC-01348,Sea Salt Milk Chocolate Pralines,Europe,Italy,Duty-Free,110,2.26,248.6
SALE-000155,2025-12-31,CHC-00592,Honeycomb Milk Chocolate Drops,Europe,Switzerland,Duty-Free,18,2.97,53.46
SALE-000156,2026-07-11,CHC-00598,Confectionery Grade Compound Chocolate Bar,Latin America,Ecuador,Duty-Free,12,1.72,20.64
SALE-000157,2025-10-27,CHC-01215,Sea Salt Caramel Chocolate Squares,Latin America,Brazil,E-Commerce,20,4.59,91.8
SALE-000158,2026-07-18,CHC-00113,Biscuit Milk Chocolate Gift Box,Europe,Germany,Retail Store,50,3.98,199.0
SALE-000159,2026-01-04,CHC-00453,Gianduja Style Hazelnut Chocolate Squares,North America,USA,Duty-Free,11,5.73,63.03
SALE-000160,2025-10-24,CHC-01424,Organic Single Origin Chocolate Coated Nuts,Latin America,Ecuador,Direct-to-Consumer,47,3.82,179.54
SALE-000161,2025-09-16,CHC-01155,Confectionery Grade Compound Chocolate Chips (Baking),Latin America,Colombia,Retail Store,7,1.26,8.82
SALE-000162,2025-10-05,CHC-00308,Espresso Infused Dark Chocolate Drops,Asia Pacific,India,E-Commerce,18,3.07,55.26
SALE-000163,2026-03-03,CHC-00146,Stevia Sweetened Sugar-Free Chocolate Filled Bar,Europe,Germany,Direct-to-Consumer,52,4.47,232.44
SALE-000164,2026-06-15,CHC-01359,Plant-Based Classic Vegan Dark Chocolate Coated Nuts,Europe,Netherlands,E-Commerce,13,6.43,83.59
SALE-000165,2025-12-30,CHC-00202,Marzipan Style Almond Chocolate Gift Box,Middle East & Africa,Cote d'Ivoire,Direct-to-Consumer,84,3.26,273.84
SALE-000166,2026-06-11,CHC-00371,Soft Caramel Core Chocolate Pralines,Asia Pacific,India,Wholesale Distributor,51,4.76,242.76
SALE-000167,2025-11-08,CHC-01301,Raisin & Almond Fruit & Nut Chocolate Filled Bar,Europe,Germany,Retail Store,49,3.94,193.06
SALE-000168,2026-02-04,CHC-00928,Raspberry Swirl White Chocolate Filled Bar,Europe,Germany,Duty-Free,8,2.65,21.2
SALE-000169,2025-12-03,CHC-00971,Cranberry Walnut Fruit & Nut Chocolate Truffle Box,North America,Canada,Wholesale Distributor,20,3.51,70.2
SALE-000170,2025-08-28,CHC-01230,Sea Salt Milk Chocolate Chips (Baking),Latin America,Brazil,Wholesale Distributor,20,2.11,42.2
SALE-000171,2025-10-08,CHC-01362,Bakers Classic Compound Chocolate Filled Bar,North America,USA,E-Commerce,107,1.74,186.18
SALE-000172,2026-06-25,CHC-00215,Organic Raw Cacao Chocolate Pralines,Middle East & Africa,South Africa,Duty-Free,10,4.44,44.4
SALE-000173,2025-08-24,CHC-01183,Raisin & Almond Fruit & Nut Chocolate Pralines,Asia Pacific,India,Retail Store,10,3.88,38.8
SALE-000174,2025-12-31,CHC-00547,Original Ruby Chocolate Chips (Baking),Latin America,Brazil,Wholesale Distributor,13,7.03,91.39
SALE-000175,2025-09-27,CHC-00524,Sea Salt Milk Chocolate Truffle Box,Asia Pacific,Japan,Wholesale Distributor,88,3.09,271.92
SALE-000176,2025-09-23,CHC-00595,Single Origin Dark Chocolate Gift Box,Europe,Germany,E-Commerce,9,6.28,56.52
SALE-000177,2026-02-09,CHC-01286,Espresso Infused Dark Chocolate Drops,Latin America,Ecuador,Wholesale Distributor,13,5.28,68.64
SALE-000178,2025-12-14,CHC-00773,70% Intense Dark Chocolate Squares,Middle East & Africa,South Africa,Retail Store,3,4.73,14.19
SALE-000179,2026-05-08,CHC-00160,Marzipan Style Almond Chocolate Filled Bar,Latin America,Ecuador,Retail Store,47,3.27,153.69
SALE-000180,2025-09-30,CHC-01010,85% Extra Bold Dark Chocolate Filled Bar,North America,Mexico,Wholesale Distributor,30,5.75,172.5
SALE-000181,2026-07-01,CHC-00981,Classic Milk Chocolate Truffle Box,Europe,Switzerland,E-Commerce,20,4.49,89.8
SALE-000182,2026-01-17,CHC-00511,Soft Caramel Core Chocolate Coated Nuts,Latin America,Ecuador,Retail Store,18,3.92,70.56
SALE-000183,2025-12-18,CHC-00889,Whole Hazelnut Chocolate Gift Box,Latin America,Ecuador,Wholesale Distributor,34,5.53,188.02
SALE-000184,2026-02-12,CHC-00729,Roasted Almond Chocolate Gift Box,Asia Pacific,India,Duty-Free,15,4.28,64.2
SALE-000185,2025-09-03,CHC-01187,Classic Milk Chocolate Bar,Europe,Switzerland,Retail Store,15,3.38,50.7
SALE-000186,2026-03-08,CHC-00791,Single Origin Dark Chocolate Bar,Europe,United Kingdom,Retail Store,42,4.66,195.72
SALE-000187,2025-12-03,CHC-01030,70% Intense Dark Chocolate Wafer Bar,Middle East & Africa,UAE,Duty-Free,31,5.95,184.45
SALE-000188,2026-01-29,CHC-00638,Raisin & Almond Fruit & Nut Chocolate Truffle Box,North America,USA,E-Commerce,47,3.63,170.61
SALE-000189,2026-02-21,CHC-00114,Whole Hazelnut Chocolate Drops,Europe,Germany,Direct-to-Consumer,13,3.01,39.13
SALE-000190,2025-10-27,CHC-01101,Whole Hazelnut Chocolate Coated Nuts,Europe,Germany,Duty-Free,66,3.53,232.98
SALE-000191,2025-11-30,CHC-00252,70% Intense Dark Chocolate Drops,Europe,France,Retail Store,17,4.98,84.66
SALE-000192,2026-02-25,CHC-01089,Sea Salt Caramel Chocolate Filled Bar,Middle East & Africa,South Africa,Duty-Free,19,4.97,94.43
SALE-000193,2025-08-15,CHC-00894,Organic Raw Cacao Chocolate Squares,Europe,Italy,Wholesale Distributor,34,6.75,229.5
SALE-000194,2026-04-05,CHC-00122,Single Origin Dark Chocolate Truffle Box,Europe,Belgium,Duty-Free,76,5.22,396.72
SALE-000195,2025-12-26,CHC-00435,Honeycomb Milk Chocolate Truffle Box,Europe,France,E-Commerce,25,3.93,98.25
SALE-000196,2025-10-02,CHC-01102,85% Extra Bold Dark Chocolate Filled Bar,Europe,France,Direct-to-Consumer,38,6.22,236.36
SALE-000197,2026-01-15,CHC-00568,Classic Milk Chocolate Filled Bar,Europe,France,Retail Store,13,4.16,54.08
SALE-000198,2026-01-09,CHC-00403,Sea Salt Caramel Chocolate Chips (Baking),Europe,France,E-Commerce,5,4.74,23.7
